46.28.224.0/24,RU,RU-SPE,Saint Petersburg,
46.28.225.0/24,RU,RU-SPE,Saint Petersburg,
46.28.226.0/24,RU,RU-SPE,Saint Petersburg,
46.28.227.0/24,RU,RU-SPE,Saint Petersburg,
46.28.228.0/24,RU,RU-MSK,Moscow,
46.28.229.0/24,RU,RU-SPE,Saint Petersburg,
46.28.230.0/24,RU,RU-SPE,Saint Petersburg,
46.28.231.0/24,RU,RU-SPE,Saint Petersburg,
77.72.120.0/21,RU,RU-SPE,Saint Petersburg,
185.22.204.0/22,RU,RU-SPE,Saint Petersburg,
